B_mean,G_mean,R_mean
109.39033130787037,117.74002989969136,44.223259066358025
107.48264178240741,115.497890625,44.262940779320985
107.85471305941358,116.88290846836419,45.089061535493826
112.79365499614198,120.13395399305556,45.38752652391975
108.71874083719136,116.85432291666666,43.89182195216049
108.449296875,116.34736689814815,44.795173128858025
108.30258728780865,116.90171199845679,45.38631317515432
116.51302854938271,95.71867621527778,45.23218846450617
107.58374807098765,102.17136863425925,48.26042004243827
111.3317153742284,118.04913339120371,44.65978443287037
111.54489631558641,118.75242380401235,44.37487750771605
110.82570746527777,118.61693383487655,44.65295428240741
108.62456597222223,117.07611448688272,45.57436583719136
117.39545669367284,96.66579330632716,44.602812982253084
106.36115210262345,115.0499430941358,45.017323013117284
107.93220679012346,117.21621334876544,44.378399402006174
107.78037953317902,117.45211033950618,45.561671006944444
109.93989293981481,120.26768711419753,42.60024112654321
109.79060522762346,118.40829475308642,44.89361111111111
110.01446421682098,117.98658468364198,44.63179157021605
107.7103867669753,115.50043016975309,43.72828510802469
109.04306616512346,117.07013454861111,44.318057002314816
112.69743875385802,120.6580150462963,42.57860966435185
117.03282503858024,124.77121672453704,43.78426022376543
109.79790605709877,117.4271551890432,44.16448688271605
110.65122540509259,118.06192033179012,45.08932484567901
