B_mean,G_mean,R_mean
108.39033130787037,114.74002989969136,46.223259066358025
108.48264178240741,115.497890625,46.262940779320985
107.85471305941358,114.88290846836419,47.089061535493826
114.79365499614198,117.13395399305556,45.38752652391975
107.71874083719136,114.85432291666666,46.89182195216049
108.449296875,115.34736689814815,46.795173128858025
108.30258728780865,114.90171199845679,46.38631317515432
116.51302854938271,103.71867621527778,45.23218846450617
115.58374807098765,103.17136863425925,45.26042004243827
114.3317153742284,117.04913339120371,45.65978443287037
114.54489631558641,116.75242380401235,45.37487750771605
114.82570746527777,116.61693383487655,45.65295428240741
108.62456597222223,115.07611448688272,46.57436583719136
116.39545669367284,103.66579330632716,44.602812982253084
108.36115210262345,115.0499430941358,47.017323013117284
107.93220679012346,115.21621334876544,46.378399402006174
107.78037953317902,115.45211033950618,46.561671006944444
113.93989293981481,116.26768711419753,45.60024112654321
107.79060522762346,115.40829475308642,46.89361111111111
108.01446421682098,114.98658468364198,46.63179157021605
107.7103867669753,115.50043016975309,46.72828510802469
108.04306616512346,115.07013454861111,46.318057002314816
114.69743875385802,116.6580150462963,45.57860966435185
114.03282503858024,116.77121672453704,45.78426022376543
107.79790605709877,115.4271551890432,47.16448688271605
114.65122540509259,117.06192033179012,46.08932484567901
