,threshold,tnr,precision,recall,f1,fpr
0,0.0,0.0,0.4913294797687861,1.0,0.6589147286821705,1.0
1,0.0001,0.17045454545454544,0.535031847133758,0.9882352941176471,0.694214876033058,0.8295454545454546
2,0.0002,0.20454545454545456,0.5424836601307189,0.9764705882352941,0.6974789915966387,0.7954545454545454
3,0.00030000000000000003,0.25,0.5570469798657718,0.9764705882352941,0.7094017094017093,0.75
4,0.0004,0.2727272727272727,0.5616438356164384,0.9647058823529412,0.7099567099567099,0.7272727272727273
5,0.0005,0.29545454545454547,0.5694444444444444,0.9647058823529412,0.7161572052401747,0.7045454545454546
6,0.0006000000000000001,0.3068181818181818,0.5734265734265734,0.9647058823529412,0.7192982456140351,0.6931818181818182
7,0.0007,0.3068181818181818,0.5734265734265734,0.9647058823529412,0.7192982456140351,0.6931818181818182
8,0.0008,0.3068181818181818,0.5734265734265734,0.9647058823529412,0.7192982456140351,0.6931818181818182
9,0.0009000000000000001,0.32954545454545453,0.5815602836879432,0.9647058823529412,0.7256637168141593,0.6704545454545454
10,0.001,0.3409090909090909,0.5857142857142857,0.9647058823529412,0.7288888888888889,0.6590909090909091
11,0.0011,0.3409090909090909,0.5857142857142857,0.9647058823529412,0.7288888888888889,0.6590909090909091
12,0.0012000000000000001,0.3977272727272727,0.6074074074074074,0.9647058823529412,0.7454545454545455,0.6022727272727273
13,0.0013000000000000002,0.3977272727272727,0.6074074074074074,0.9647058823529412,0.7454545454545455,0.6022727272727273
14,0.0014,0.3977272727272727,0.6044776119402985,0.9529411764705882,0.7397260273972603,0.6022727272727273
15,0.0015,0.4090909090909091,0.6090225563909775,0.9529411764705882,0.7431192660550459,0.5909090909090909
16,0.0016,0.42045454545454547,0.6136363636363636,0.9529411764705882,0.7465437788018433,0.5795454545454546
17,0.0017000000000000001,0.4318181818181818,0.6183206106870229,0.9529411764705882,0.75,0.5681818181818182
18,0.0018000000000000002,0.4318181818181818,0.6183206106870229,0.9529411764705882,0.75,0.5681818181818182
19,0.0019,0.4431818181818182,0.6230769230769231,0.9529411764705882,0.7534883720930232,0.5568181818181818
20,0.002,0.4431818181818182,0.6230769230769231,0.9529411764705882,0.7534883720930232,0.5568181818181818
21,0.0021000000000000003,0.45454545454545453,0.627906976744186,0.9529411764705882,0.7570093457943925,0.5454545454545454
22,0.0022,0.45454545454545453,0.627906976744186,0.9529411764705882,0.7570093457943925,0.5454545454545454
23,0.0023,0.4659090909090909,0.6328125,0.9529411764705882,0.7605633802816901,0.5340909090909091
24,0.0024000000000000002,0.4659090909090909,0.6328125,0.9529411764705882,0.7605633802816901,0.5340909090909091
25,0.0025,0.4659090909090909,0.6328125,0.9529411764705882,0.7605633802816901,0.5340909090909091
26,0.0026000000000000003,0.4659090909090909,0.6328125,0.9529411764705882,0.7605633802816901,0.5340909090909091
27,0.0027,0.4659090909090909,0.6328125,0.9529411764705882,0.7605633802816901,0.5340909090909091
28,0.0028,0.4659090909090909,0.6299212598425197,0.9411764705882353,0.7547169811320755,0.5340909090909091
29,0.0029000000000000002,0.4772727272727273,0.6349206349206349,0.9411764705882353,0.7582938388625593,0.5227272727272727
30,0.003,0.48863636363636365,0.64,0.9411764705882353,0.7619047619047621,0.5113636363636364
31,0.0031000000000000003,0.48863636363636365,0.64,0.9411764705882353,0.7619047619047621,0.5113636363636364
32,0.0032,0.5,0.6451612903225806,0.9411764705882353,0.7655502392344496,0.5
33,0.0033,0.5113636363636364,0.6504065040650406,0.9411764705882353,0.7692307692307693,0.48863636363636365
34,0.0034000000000000002,0.5227272727272727,0.6557377049180327,0.9411764705882353,0.7729468599033815,0.4772727272727273
35,0.0035,0.5340909090909091,0.6611570247933884,0.9411764705882353,0.7766990291262136,0.4659090909090909
36,0.0036000000000000003,0.5568181818181818,0.6722689075630253,0.9411764705882353,0.7843137254901961,0.4431818181818182
37,0.0037,0.5568181818181818,0.6722689075630253,0.9411764705882353,0.7843137254901961,0.4431818181818182
38,0.0038,0.5568181818181818,0.6722689075630253,0.9411764705882353,0.7843137254901961,0.4431818181818182
39,0.0039000000000000003,0.5568181818181818,0.6722689075630253,0.9411764705882353,0.7843137254901961,0.4431818181818182
40,0.004,0.5568181818181818,0.6722689075630253,0.9411764705882353,0.7843137254901961,0.4431818181818182
41,0.0041,0.5568181818181818,0.6694915254237288,0.9294117647058824,0.7783251231527094,0.4431818181818182
42,0.004200000000000001,0.5568181818181818,0.6694915254237288,0.9294117647058824,0.7783251231527094,0.4431818181818182
43,0.0043,0.5568181818181818,0.6694915254237288,0.9294117647058824,0.7783251231527094,0.4431818181818182
44,0.0044,0.5568181818181818,0.6694915254237288,0.9294117647058824,0.7783251231527094,0.4431818181818182
45,0.0045000000000000005,0.5568181818181818,0.6694915254237288,0.9294117647058824,0.7783251231527094,0.4431818181818182
46,0.0046,0.5681818181818182,0.6752136752136753,0.9294117647058824,0.7821782178217823,0.4318181818181818
47,0.0047,0.5681818181818182,0.6752136752136753,0.9294117647058824,0.7821782178217823,0.4318181818181818
48,0.0048000000000000004,0.5795454545454546,0.6782608695652174,0.9176470588235294,0.7799999999999999,0.42045454545454547
49,0.0049,0.5795454545454546,0.6782608695652174,0.9176470588235294,0.7799999999999999,0.42045454545454547
50,0.005,0.5795454545454546,0.6782608695652174,0.9176470588235294,0.7799999999999999,0.42045454545454547
51,0.0051,0.5795454545454546,0.6782608695652174,0.9176470588235294,0.7799999999999999,0.42045454545454547
52,0.005200000000000001,0.5795454545454546,0.6782608695652174,0.9176470588235294,0.7799999999999999,0.42045454545454547
