,0
tnr0.996_tnr,0.9963031423290203
tnr0.996_precision,0.9473684210526315
tnr0.996_recall,0.2517482517482518
tnr0.996_f1,0.3977900552486188
tnr0.996_fpr,0.0036968576709796672
tnr0.998_tnr,0.9981515711645101
tnr0.998_precision,0.96
tnr0.998_recall,0.16783216783216784
tnr0.998_f1,0.2857142857142857
tnr0.998_fpr,0.0018484288354898336
